text	label
good family fare : although current movie , still ha lot warmth good acting . especially love depiction family .	1
cheezy unbearable . watched 20 min : family thought might `` cute '' movie . turned unbearably bad . cheezy bad acting . could n't watch 20 min .	0
abandoned one : trial tribulation multigenerational family.we found disengaging rather tedious . went without getting far beginning started skipping scene see picked . end abandoned it.i 'd hoped movie saif ali khan , salman khan & karisma kapoor wa 1999 guess wa n't among better stuff . music dance wa ho-hum unmemorable too.elsewhere net score average . however wa average u keeper .	0
charger work great : charger work fine advertised . location charger inlet phone good - make awkward charging trying talk .	1
scratched lens kleenex : used used kleenex wipe one lens wa little smudged . microscopic vision noticed wa scratched used kleenex , sure , used sure enough , scratched lens . compared 2 lens lens looked pristine , whereas one used kleenex wa scratched ! low quality lens ! unusable one use !	0
weak out-dated plan : got book expecting bunch puzzle cover title . many item found , everything look out-dated . definitely keep looking want puzzle up-to-date patterns.wayne	0
great translation , poor packaging : love esv translation rate five star . upset publisher translation poorly package product . edition `` shirt pocket '' edition seems well bound ha impossibly small print.what needed `` coat pocket '' size edition new testament bound way lie open accord . print size 10 higher . present edition lie open , , , print small ant could read it.crossway publishes two edition new testament alone , inferior . print small read enjoyment . something ha change !	0
excellent read - better environmentalist novel : usually turned environmentalist preachy novel , thoroughly enjoyed midworld . world wa well-conceived dangerous out-of-control environment , time in-balance rule .	1
turn mind , relax float downstream : think people read alan dean foster know get . writing clear clean , story imaginative , nothing challenging . something read pleasure n't want something else .	1
true stem-winder novel : really , really awful . sheer paucity alan dean foster imagination staggering . `` midworld '' wa recommended friend ; first thought wa victim bad joke . could used blueprint write novel . witless , humorless , lacking even slightest glimmer originality . n't waste time .	0
child : eight year old son came home reading little took away . kind stuff warp mind appropriate already warped . plenty those.make sure kid n't read untill older . killing screaming tour hell .	0
fantastic classic : 've read nearly everything foster ha written book absolute favorite ( close second ) flora fauna world grabbed imagination different level rain forest well thought . 'd love see jim henson production company make movie	1
great classic : remember reading wa young . found amazon bought share kid . sci-fi classic ! would recommend kid , young young-at-heart .	1
dont know ! : program look fun software recieved wa corupt wont load machine .	0
wa ghostwritten , duh ! : hello people . first , naomi campbell write book . wa written . ha admitted interview . would anyone want read novel written supermodel anyway . guess people read book authored fabio would dig	0
peek modeling : fascinating book let see inside mind five unique character ( plus swan ) . center around five amateur model shortlist replace supermodel swan cosmetic campaign . many thing going book never ha time get boring ! character written excellent detail realism story ha lot twist turn . impossible put !	1
simply riveting ; 1960s today : hold power : sense baldwin wrote fire next time anyone ear hear , regardless color faith gender . emotional intelligence speaks riveting .	1
life-changing : number one time favorite book . clarified many thing racism religion america , eloquent voice 've ever pleasure reading .	1
cyndi surpasses debut ! : rare sophomore release surpass artist debut ; one album seems done . loved cyndi debut , album exceeded expectation , know rare sophomore release . although australian , cyndi ha deep , rich , bluesy voice , sound like grew backwoods deep south . quintessential stripped , bluesy , country root music .	1
wait , wait - get better ! : people start reading book 100 page realize going nowhere fast . take advice keep reading . get much better , interesting . ending really good , might even upped review star.ac	1
beauty enemy le fortunate : fresh beauty- think uma thurman-she pursued . sex- female gender- helpless . helplessness-being female form- taken . captured & violated . violated ruined . yet , still pure woman	1
hardy dead , still alive writing : compeling creepy classical fiction read . felt like wa something wrong reading te , even though reason believe . bottom line , first chapter last , 'll feel someone standing behind , ready hurt . spirit feel free , thomas hardy person .	1
worst book history literature . : time spent reading book could spent someting worth interesting watching grass grow , picking teeth . wa real disappointment reading book anyone life outlawed .	0
te d'urbevilles : book wa true tragedy two social class girl tried helping family time , yet suffered end .	1
look back time & romanace : wonderful discriptive novel . heartwarming & hold interest . hard put . would read . creative writing excellent author .	1
witty , charming deliciously hillarious ! : reading te durbervilles could help feel little disapointed finished . could n't tear away . absolutely adored te manner `` cousin '' annnoying manner te sweet temper . always wondered wether te would get together throughout entire novel.boy wa surprised !	1
sorely disappointed : back cover book described te heroine time . wa thrilled begin reading book discover wa made heroine . wa disappointed end book . wa heroine , like self-pitying brat ! hardy fantastic job describing life periold time , talent wa enough change opinion book . aggrevating ! ! !	0
zzzzzzzzzz ..... : te one boring work literature . yes , hardy wa rather revolutionary period far choice heroine subject dealt , doe n't necessarily add good book . story n't bad -- 're willing wade unnecessary muck piece together . however , trouble stomaching fact te lauded brave virtuous heroine actually completely spineless time rather annoying . wo n't spoil story giving example , since may well intending read anyway , forced read class . latter ... good luck .	0
exhausting : book ha place -- place american literature course university . wa entirely technical enjoyable . wa assigned book ninth grader teacher understand lexile level , must advise teacher assign book later grade -- highest student .	0
bit letdown end : part attempt read classic non-fiction well usual speculative fiction year . people noted hardy bit hard read , turned true . style jagged choppy , bouncing around quite bit , never giving true glimpse scene important know interpret ( question te ' seduction rape alec d'urberville ) . however , overall , interesting story least enjoyed book . considering ending seemed rather ill-fitting rest tale , 'll pas giving high rating . wa rather disappointing slog odd phrasing quirk , let end character magically changing personality trait . think te wa weakling without mind part , angel wa worthless , character potential story so-called villain , alec d'urberville .	0
pathetic character literature . : te d'urbervilles one worst book ever read . read book high school , though college , n't discount review . te ha absolutely backbone . pine away stupid angel cruel guy raped many way . know woman n't strong time even , still pathetic . tell angel would jump river kill , laughed loud ! te spineless , pathetic excuse human . need take lesson jane eyre , hundred time better heroine . also , hardy describes stupid valley many time book drag forever seems like never going end . disliked character much , made book one redeeming quality . want read hardy book , read mayor casterbridge -- much better !	0
great book : classic book always loved read kindle . glad see free !	1
finally ! book different . : n't understand everyone else wrote review n't like book . one weirdest yet greatest book 've read . pile jane eyre ! point view , majority people wrote review forced read book school , people n't like ordered around . picked book bookstore thank , wa last minute decision buy book . teacher recommend book , make student read , kill interest book . wa nice blend tragic weakness . usually book ha fierce female fighting mean , crude , bad man . book wa different , weak girl innocent man , different like thinking differently , good .	1
true epic : favorite book classic literature , te cry begging . hardy unfolds tale true genius . filled love , hate , depression , happiness , hardy doe incredible job displaying human emotion . heartily recommend without second thought	1
brilliant book ... : n't like book much . wa silly . 'm sorry 've wasted time reading book . better book read .	0
unfortunately boring book : 'm fan classic , could force struggle book . could neither identify character ( te especially seemed extraordinarily weak-willed passive ) follow endless description novel . iw ould suggest different book	0
low quality binding/paper : edition basically newsprint hard binding . racket ! signet classic ( pocket size ) introduction marcelle clements.tess d'urbervillesand binding good , either -- n't know word left margin .	0
glad century : n't like book . language wa difficult read end topic wa one n't agree . ultra right value woman always fault tempting man wa one dealt final cruel punishment . relieved century . make u appreciate u suffer u .	0
incredible literary work : te d'urbervilles outstanding piece literature . follows struggle protagonist life 1900s . anyone interested literature slightest degree must read novel . captivating , spellbinding , heartwrenching . rarely cry reading novel , wa weeping throughout book . incredible journey te go unmatched piece literature date .	1
te ' motherhood experience change life ... : te , naive young girl whose one night relationship cousin alec ruin life , great example woman love would anything husband nothing . te great book read . need help soon le week term paper te due ( consequence motherhood wed england 1800 seen te ) please material help email . thanks advanced ! ! ! ! !	1
book ha dire need shortened : book beginning wa slow finished book twice length finished first chapter te d'urdubervilles .	0
defective edition : 've enjoyed reading edition critical essay helpful footnote , copy ordered amazon wa missing thirty page . ( turn page 14 44 printed twice , resuming page 77 ) . may corrected problem copy , n't assume 'll get whole book !	0
disappointing : wa really disappointed book surprised many people think wonderful story . wa depressing story reflects worst thing way woman treated time . n't think story redeeming quality likeable character ( even te wa quite irritating time pride getting way asking help make life little easier ) .	0
classic theme life : rapidly read book high school test next day . knew wanted read wa good wa missing subleties . loved . theme life goverened think . poor te wa wrong , time understandable . hardy writes without including graphic detail , story remains . story suspended time .	1
mum word , say victorian novelist . : question often appears agony aunt column relates age old dilemma telling , telling , spouse affair another . hardy come firmly side keeping quiet . te , excellent intention , misguidedly , spill bean come sticky end . mother say , 'little fool ' , though disingenuous one , sure . much book that.i first read book 40 year ago revisited time . immensely powerful , brilliantly written , witty , devastating critique victorian morality , religion , sexual hypocrisy even today immensely moving.if hardy ha weakness , plotting novel , admit perhaps one many coincidence , small quibble.this one greatest novel . right anna karenina , give five star .	1
typical manipulation tragic consequence : many reader fail realise tragic life wa common lot young , attractive poverty stricken woman age ago today . child teen continue sold and/or directed life drudgey , service near slavery , fact slavery , parent knowing way dire condition . poverty worldwide continues dictate similar fate young one today , comfortable surroundings , debate merit novel , america , sad legcy indeed tale warning , unfortunately , prediction . well good fasten one attention good resd-but pray miss point ! hypocrisy life book finished .	1
te d'urbervilles : excellant service amazon . book expected . good quality paper back.r.v.angel .	1
classic thomas hardy : perhaps greatest work thomas hardy . story tragic heroine whose life shaped event beyond control.i purchased book college class hope read author.the description life rural 19th century england superb .	1
tragically great love story : absolutely loved story definitely worth reading . found thing little difficult follow old english , wa still great read .	1
te ' u rbervilles : enjoyed reading classic tragedy . te sweet want know , led shock shock . appreciated footnote explanation end book . also enjoyed hardy colorful description . wa surprised similar life thenineteenth century wa today life .	1
best book forced read ...... : book wa forced read ... loved one ... movie wa good book wa great ... book still early michigan college year .	1
worst book ever read life : quite simply worst story ever read life.it wa depressing , long , meandered way aimlessly till end . whats worse , book could ended half way still impact . character still meet fate , everyone would felt way , reader would spared several chapter agonizing reading made different choice confessing secret angel.if like reading depressing story seems like author taking sadistic joy tormenting protagonist , story . everyone else , stay far far away .	0
read book ! : sorry like book would never wish single soul read . book ha plot : girl go farm , fall love everything go wrong . book go . reason read wa mother asked . book could written 50 page . go 300 odd page . would rather read dictionary . reason give book 2 star wa maybe four part consisted 2 page mildly interesting . take word . book skipped .	0
buyer beware : wa used paperback te sold new library sticker binding well front cover . amazon definitely trustworthy anymore .	0
worst book read : n't know book classic . n't thought could find absurd stuff book . n't waste time .	0
boring : thought book wa long , drawn , boring . wa descriptive . , writing style lot like jane eyre . n't particularly like type book.plus , wa way sad unrealistic . n't think many bad thing could happen one person .	0
boring ! : read gcse coursework . everybody found boring descriptive . choice , choose book ! make worse , incredibly long depressing . even touch ! ! !	0
? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? : poor , innocent school kid forced read intensly dull text ? enough put anyone english lit life . anyone authority reading , please take piece junk sylabus ... please ! ! ! ! ! ! ! ! ! ! !	0
could n't give star : n't able get ... read bit ha n't held attention ... maybe 'll try sometime ... know supposed like classic try ....	0
fine , good example literature allowed enter public domain ... : book stand , though found ending disappointing . downloaded order able follow obscure passage audiobook version wa excellent purpose ; digital edition worked fine ipad difficulty locating specific section based section chapter breakdown .	1
`` poor te '' : thia saddest story ever read ! poor girl -- -she doe n't chance finding happy life ! card stacked git-go !	0
couldnt get story : thought story line sounded interesting bought ... twice ! trying get version book wasnt diffucult read , ok , half time dont know author referring cause wa written long ago author us language got way story , bought thinking 2nd book looked easier read wasnt ... sadly reduced trying find movie find happens bother hate finish book !	0
good book : good book . sad many te bad decision caused life worst . instead making lemonade lemon life life continued suck sour sour fruit .	1
classical perfection : te d'urbervilles possibly favorite classic . thomas hardy brilliant writer evidened novel . 've never read please . free amazon . fall love te curse life dealt .	1
excellent ! : several year ago wa high school read mayor casterbridge ( also hardy ) . enjoy circumstance , decided give te try year later . must say , ha certainly become one favorite time book . hardy really let reader see feel happening life character . must admit even shed tear end ( something rarely reading ) . book must read anyone like literature !	1
haunting ... : wa reading book assignment english , image left mind remain long time . story te , truly pure woman , facing adversity scare soul , thoughtful saddening one.the norton critical edition particularily good , containing review poem thomas hardy , major advantage trying understand atmosphere produced novel.though novel heavy description , description place . fact , essential storyline.all , enjoyed book , made think reflect value believe truly important .	1
wonderful : wonderful story , left thinking instead usual forgetting 5 minute later . character intriging , story interesting , making want put . ( high school ) would definitly suggest read .	1
excellent , timeless analysis human life nature : please ignore immature high-school student review understand book masterpiece . hardy analyzes relationship human desire society unprecendented degree . character multi-faceted life-like . hardly aptly avoids mistake creating mere carciatures pure woman , idealistic intellectual , spoiled playboy . moreover , use religious allusion excellent although may alienate modern , secular reader . perhaps problem reader . finally , te admirable strong woman difficult circumstance . many people would act admirably circumstance ? many ! reviewer criticize action realize ignore one hardy key point : n't judgemental ! one best book read believe , read lot `` good '' book .	1
reality lesson thomas hardy : nice . te totally unrealistic character-she ha sorrow life u century . book extremely sad , n't understand classic . te happy alchoholic dad discovers noble family , , getting big britches , sends te another d'urberville family , actually adopted name wanted seem influential . trouble start . soon , te give birth baby , go back home disgrace . meet another nice guy , abandon learns past . author could done happpy scene ... life sadness !	0
kill , please : either 12 grade teacher assigned piece crap . book wa terrible one class read , teacher would come class 25 photocopy page going one would `` remember '' bring thier book class . story wa poigent overdone , character , te wa insult woman everywhere . backbone unill end novel . fankly , liked hardy poetry better wish book would removed required reading list .	0
bad cover condition : bad cover . half book ruined spine ha come unglued ... false product description !	0
cruel depressing novel : hardy paint cruel picture woman lower society . either tempted cause evil mischief tragic ending . created virtuous woman form te end criminal . impossible woman te virtue turn criminal . would recommend book anyone would look escape depression .	0
twice taken ! : many year reading prodding classic course , te durbervilles wa book wanted read . obliviously , read ... lucky te one best english literature ! masterpiece ! creation ! tale !	1
love ! : collecting penguin cloth covered book . classic book look awesome bookcase . would highly recommend .	1
great classic read . : purchased movie wanted read book also . sad well , see life lesson reading book . follows film exactly , especially beginning , opionion .	1
great ! : loving book . wa good condition arrived timely manner ! wait funish book . great price . thank !	1
te te : sad tale anyone read - feminist like , wa heartbreaking . classic tale woman suffering unfortunate thing happened woman right liberated . amazingly written , another triumph thomas hardy .	1
warning - n't read introduction first ! : 1 star rating due fact oxford university press give away plot twist even shocker ending second paragraph introduction . fun reading novel trying find happen next . oxford spoil giving away start ( thinking ? ! ! ! ) . pick edition , skip intro , read book . otherwise , hardy novel great story insight noble character . hardy get 5 star , oxford u press get 1 .	0
book blow : recommend book kindling fire . worst book could possibly written . want read , jump nearest bridge tall building ( without parachute ) . probably similar experience reading book . thank , good day .	0
eayk ! : silly , stupid , boring . read project wa faint . thank god wa short : ) still wan na read ? good luck ! hate say belive sorry !	0
daunting delightful : quirky yet brilliant english teacher assigned work beginning senior year . undoubtedly , approached book much doubt skepticism . know hardy , immediately recall superfluity detail monotonous landscaping , inevitably impedes character plot development . suprisingly , though discouraging factor present , found book exceptionally appealing . hardy portraiture te validates captivating author . draw u persona , leaving u trampled bruised grievance life . walk u struggle , though mangled inability step forward , still persists.i highly reccommend book avid reader british literature .	1
boring ..... : story original ( using common character instead nobility ) , story keep drugging forever something . novel , prose ! ! wonder author waste bunch page expressing emotion heroin ? think te terribly idiodic . continue love unforgiving cruel husband ? n't degradation female saying always loyal man matter men desert ? , even try read book time .	0
sexist unsatisfying : see subject line . would never recommend book , depth nuance aside . wa point pleasant read . struggled finish .	0
waste time . : n't care classic . went nowhere . wa point . could bring care happened character . wa enjoyable read .	0
amazon affiliate : wanted know whether affiliate link , commission link worked.it n't ! book written period language , hence still introductory phase.it small type , delay progress .	0
te depressed ! : senior linville high school . recently read hardy te d'urbervilles term paper . chose teacher told wa good . wa quite disappointed book general . reading description back book , inferred te would confronted problem , `` heroine '' wa described , would overcome victoriously . unfortunately , wa completely wrong . te depressed frustrated extremely throughout book . cowarded let people run . thing wa good wa little surprise inserted every . whole book depressed would rather read another book hardy .	0
fiction finest : startling book one te forced make difficult decision face awful circumstance .	1
recommend : thoroughly enjoyed te , even though left raging gnashing teeth time . picture victorian life complete without reading book first .	1
classic literature everybody read : book great history lesson , written love passion.young people could learn many good thing relationship woman man .	1
disappointing : poor character never catch break , writer make care , deeply . emotionally draining depressing	0
shirt mania : book wa perfect example different way put together little piece old small tee shirt many memory built one quilt .	1
incorrect sewing instruction : many shirt quilt book friend happened choose one ha incorrect sewing instruction . quilt would easier make another book . several shirt quilt book good instruction .	0
great book : used book make 3 t-shirt quilt memory friend 21 year old son 2 daughter . turned beautifully looked much sophisticated dignified simple sashing method . book may thin big creative idea . 'm thankful found book special quilt ! 'm sure 'll using .	1
missing trademark lable collectable item . : item n't trademark lable shown photo collectable item me.dissapointed item collector make item useless far collection goes.now cost money purchase item ebay .	0
one best toy ! : hi , today went toysrus picked puppy surprise . love ! opend every one wa excited see many puppy would . ( including mom ! ) got 2 girl 1 boy : ) review read everybody said got 3 4 puppy , never herd someone getting 2. well im going go play puppy , bye : ) - jackie	1
interactive cd ! : kid keep quiet cd playing , neither i. keep ear open see hear clue ! cd rarely case play much .	1
perfect every blue clue fan parent : wa bit skeptical purchased cd . 2 year old huge fan show , took gamble cd doe n't owe nickel . clever tv show format . new song entertaining u old stand bys sing along . terrific . problem one `` episode '' market . please hurry make another one ! ! think know one heart ! ! !	1
absolutley great kid ! : son love listen tape . wonderful song really involves kid . must admit love listen .	1
better traditional kind : second pair fiskar multi-purpose scissors . got first pair 6 year ago used constantly art studio kind cutting . worked perfectly accidentally stepped . scissors extremely comfortable , stay sharper traditional kind , work beautifully .	1
photo shown wa item shipped . : fiskars softouch scissors shown website item shipped . wa shipped 'newer ' version item . wanted version wa shown expected . like handle 'newer ' version wanted older one , wa looking site . updating site would save everyone time effort !	0
pure junk , fell apart , damaged bike : rack piece junk . within 1,000 mile , part ha fallen , pin bent , frame sagged , ha rubbed $ 2,000 mountain bike frame aluminum . buy rack.for initial journey , put three bike long trip . weight bike wa well max allowed . first leg , pulled notice rack sagged significantly . much , removed bike ensure rack wa failing . found pin bent 400 mile ! trip went , rack continued disintegrate . rubber frame protector holding frame bike fell ( n't ask wa snuggly fitted oversized mountain bike frame ) . metal metal rubbing destroyed paint rubbed hydraulic brake line . kid ' bike also rubbed , dented , scratched.buy rack one . personally return roof rack bike .	0
swagman xc-2 bike rack : bought product would recommend anyone . rubber tub sticky need wear glove leaf mark bike . red rubber protecter fell first time wa used . lock wa recommedned go doe fit . tube locked place need hammer get release . tire holder rail lock place even plier . used product instructed manual bike fell middle intersection ! use product need bungi bike three place secure ! use hook !	0
great bike rack : bought rack monday got tuesday . took 30-45 minute put together . figured take part apart put back together rack base , went well . love bike mount feel bike secure type rack bike hang top tube . would defiantly recommend bike rack .	1
great carrier distance : finished trip visit family worked great . around 500 mile way.it took hour get adjusted could get 4 bike . , everything wa set loaded 4 bike 10-15 minute . 'm sure 'll get even better.the improvement could make would two post space . middle 2 bike fit really tight put right . wa harder son ha bmx style bike daughter ha similar bike 16 '' ( believe ) wheel . fall mount , stay securely anyway.my arm n't lock position easily , use storage 'm worried . 'd probably buy , especially price .	1
swagman bike rack : well made solid ( heavy ) . sort rack would want pull vehicle often . want rack n't worry bike swinging breeze . rack doe fold doe n't stick back badly bike n't . receiver pin tightens take slop hitch rack .	1
dance album year ! : wow ! ... finally something new creative dance floor year . got promo album week ago hav n't stopped listening since . mynt hit one place plus new single `` still sorry '' think really going huge smash . lot cool 80 production fat synths one 'd say definitely worth buy u dance music/electrohouse 80 style./dj eric	1
silly cover : liked first single `` know '' , decided check out.the song production sound flat unimaginative , nothing new exciting here.i cant remember even one song . sound like needed throw one together fast ... rap made chuckle .	0
must ! : reading ms. bluehorse recent book , grandfather drum , searched title found one - view hill . completely different grandfather drum , feel view hill mile stone modern historical literature . elizabeth writes clearly , expressively , beautifully . delight read - even word bringing tear eye . elizabeth , need book !	1
yoga power : fortunate student naader yoga class yoga kingdom pasadena , ca . someone ha studied yoga 25 year , confidently say naader class complete well-rounded ever taken . part world would like access energizing , healing yoga workout , would highly recommend video .	1
remains powerful even repeated viewing : naader wa first yoga teacher . moved state , video wa link best yoga routine ever done . tried instructor video , naader approach best -- balanced mix yoga instruction inspiration . shared tape many friend ( bought copy ! ) agree naader instruction easy follow pace slow enough beginner figure going next pose ; slow experienced student get bored . furthermore , since pose along student , know offer extra word encouragement give ! find something new ponder time listen tape . naader word heart reach touch heart well body . buy tape use ! !	1
disposable nipple : great product overall . wa looking place buy store could find anywhere . wife wanted use baby used hospital washing maintenance involved . however bit pricey flow fast relative nipple .	1
great disposable nipple : used hospital baby wa born great ! baby bag along formula bottle always clean nipple . recommend .	1
best disposable nipple : love nipple . 've ordered many son use nipple . tried medela nipple every type imagineable fit medela bottle , one would use . slow flow perfect . buying head cancun use similac ready feed bottle .	1
absolute best ! : picky 4 month old refuse eat using kind nipple . started hospital although supposed disposable , able use nothing else since ( despite numerous purchase brand try . )	1
one leg willie highly reccomends cd ! classic blue : hey , 've got one leg , doe n't mean n't know great blue music hear ! ! ! love memphis minnie rough roudy vocal rockin ' guitar style , epitime blue . sings everything jump blue , rockin ' blue , delta blue dirty blue . ha plenty pep energy , sinsg liek tomorrow . delivery hit like intoxicatingly wonderful tornado . love cd , one legged willy promise , , one legged willy gaurentee ! ! ! bottom line : buy , one legged willy give thumb !	1
best dirty irish cd ever ; ) : harry bradley , originally belfast , ha mastered `` dirty '' style irish flute playing , player play pulsing breath push lower octave note get distinctive tone . listen irish flute music , n't need tell harry bradley . 've never heard irish flute music , great cd start ( every irish flute player ha belongs distinctive style ; try matt malloy kevin crawford others ) . look also harry flute duet cd michael clarkson , `` pleasure hope '' ( great stuff ) album `` bad turn horseshoe bend '' also excellent . think download mp3 see like ; recommend `` miss thornton's/the primrose lass '' , third track cd great set tune also demonstrate belfast/dirty style playing .	1
